2023-04-18 03:10:03.035462,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:15:02.357510,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:20:02.735390,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:25:03.042176,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:30:02.354634,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:35:02.658965,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:40:02.985776,3.373,10.75,16.479,19.63,4.137,18.401,26.204,27.633,27.943
2023-04-18 03:45:02.292300,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:50:02.599414,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 03:55:02.989613,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:00:02.370239,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:05:02.732997,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:10:03.094179,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:15:02.480732,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:20:02.959380,4.266,13.779,21.169,25.235,4.742,23.06,33.125,34.969,35.369
2023-04-18 04:25:02.337835,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:30:02.639788,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:35:02.959374,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:40:02.290823,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:45:02.597665,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:50:02.905327,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 04:55:02.224525,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:00:02.530053,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:05:02.890065,3.134,9.119,13.748,16.295,6.193,18.12,24.431,25.587,25.839
2023-04-18 05:10:03.271381,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:15:02.647985,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:20:03.113561,3.592,12.243,18.977,22.681,2.257,18.658,27.826,29.505,29.868
2023-04-18 05:25:02.476589,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:30:02.838996,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:35:03.212755,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:40:02.513060,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:45:02.819775,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:50:03.127050,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
2023-04-18 05:55:02.434131,3.134,9.119,13.748,16.295,6.193,18.12,24.431,25.587,25.839
2023-04-18 06:00:02.741571,2.694,9.182,14.233,17.011,1.693,13.994,20.869,22.128,22.401
